ID;Bibl. Eintrag;Schranknummer - Praun'scher Katalog;Rang - Praun'scher Katalog;Titelreihenfolge - Praun'scher Katalog;Systemtische Zuordnung - Praun'scher Katalog;Imagez‰hlung Digitalisat - Praun'scher Katalog;Katalogseitenz‰hlung- Praun'scher Katalog;Katalogeintrag Praun'scher Katalog;Erg‰nzungen zum Katalogeintrag - Praun'scher Katalog;PPN-Nummer Manifestationsebene;Anmerkungen - Praun'scher Katalog und edit.;Bandz‰hlung - katalog¸bergreifend;PPN-Nummer Exemplarebene - Ex. 1;HAB  Exemplare;Sammlungszugehˆriges Exemplar mit Provenienzen;Aufstellungssystematik Mittlere Aufstellung;Signatur- und Provenienzpr¸fung;Ergebnis Magazin- und Provenienzpr¸fung;Alle im OPAC nachgewiesen Provenienzen HAB;Provenienz Zuordnung namentlich;Bibliographische Gattung und Status;Sprachcode;OPAC Haupttitel;Erscheinungsjahr;Erscheinungsort OPAC - 4030 -;Erscheinungsort normiert GND;Erscheinungsort GND-Nummer;Erscheinungsort normiert TGN;TGN-Nummer;1. Verfasser Vorname -3000;1. Verfasser Nachname - 3000;1. Verfasser normiert;Wikidata-ID;sex or gender;1. Verfasser GND-Nummer;Geschlecht;1. Weiterer Verfasser Vorname -3001;1. Weiterer Verfasser Nachname - 3001;1. Weiterer Verfasser GND - 3001 2;Geschlecht2;2. Weiterer Verfasser Vorname - 3002;2. Weiterer Verfasser Nachname - 3002;2. Weitere Verfasser GND - 3002 2;Geschlecht3;1. Weitere Person Vorname -3010;1. Weitere Person Nachname -3010;1. Weitere Person GND - 3010 2;Geschlecht4;2. Weitere Person Vorname - 3010;2. Weitere Person Nachname -3010;Geschlecht5;2. Weitere Person GND - 3010 2;1. Sonstige Person Vorname - 3050;1. Sonstige Person Nachname - 3050;1. Sonstige Person GND - 3050 2;2. Sonstige Person Vorname - 3050;2. Sonstige Person Nachname - 3050;2. Sonstige Person GND - 3050 2;3. Sonstige Person Vorname - 3050;3. Sonstige Person Nachname - 3050;4. Sonstige Person Nachname - 3050;3. Sonstige Person GND - 3050 2
30;29;I;(d) 4. rang, in quarto;93-106;Hist. universelle,;12;4;Memoires pour servir ‡ l'histoire du XVII.eme Siecle par Mr de Lamberty, Haye 1724-30. T. I. II. III. IV. V. VI. VII. IX. X. XI. XII. XIII. XIV.;;240180747;;14;24018145X;M: Ge 418:1, Schulenb. Gc 2∞ 84;;Geschichte - Neuere Geschichte;Exemplar vorhanden;Exemplar ohne Provenienzen von Philippine Charlotte;;;Acr;fre;MÈmoires pour servir ‡ l'histoire du XVIII siÈcle;1724;La Haye;Den Haag;4011446-6;'s-Gravenhage;tgn/7006810;Guillaume;Lamberty;Lamberty, Guillaume;;male;1157538665;Unbekannt;;;;;;;;;;;;;;;;;;;;;;;;;;
31;30;I;(d) 4. rang, in quarto;106;Hist. universelle,;12;4;Memoires concernant Christine R. de Suede. Amst. 1751 T. I. II. III. IV. Arckenholtz;;150822162;erg‰nzt?;1;238063690;M: Gs 4∞ 25:1;M: Gs 4∞ 25:1;Geschichte - Skandinavien;Exemplar vorhanden;Provenienz Philippine Charlotte: Supralibros Monogramm PC, brauner Einband, Signatur Praun'scher Katalog;;Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> ;Acr;fre;MÈmoires concernant Christine, Reine de SuÈde, pour servir d'Èclaircissement ‡ l'histoire de son rÈgne et principalement de sa vie privÈe, et aux ÈvÈnements de l'histoire de son temps civile et litÈraire;1751;Amsterdam;Amsterdam;4001783-7;Amsterdam;tgn/7006952;Johan;Arckenholtz;Johan Arckenholtz;Q1607896;male;116319739;M‰nnlich;;;;;;;;;;;;;;;;;Christine;Schweden, Kˆnigin;118520652;;;;;;;
32;31;I;(e) 5. rang, in octav.;107-110;Allemagne;13;5;Hist. de l'Empire, par le Sr Heiss, Haie 1715. T. I. II. III. IV.;voiÈs n. 65.;191773204;;4;191773255;M: Gl 2066:1;;Geschichte - Deutsche Geschichte: allgemein;Exemplar vorhanden;Exemplar ohne Provenienzen von Philippine Charlotte;;;Acr;fre;Histoire De L'Empire;1715;La Haye;Den Haag;4011446-6;'s-Gravenhage;tgn/7006810;Johann;Heiﬂ von Kogenheim;Johann von Heiss;Q58046706;male;172765080;Unbekannt;;;;;;;;;;;;;;;;;;;;;;;;;;
33;32;I;(e) 5. rang, in octav.;111;Allemagne;13;5;Hist. abregÈe de la Maison Palatine, par l'AbbÈ Schanat, Francf. 1740.;;135849470;;1;135849470;M: Gm 3608;M: Gm 3608;Geschichte - Deutsche Geschichte: Territorien und St‰dte;Exemplar vorhanden;Provenienz Montbail: Supralibros Wappen Dumas, Signatur Praun'scher Katalog;;Provenienz: Dumas de Montbail <Familie>;Aaus;fre;Histoire AbrÈgÈe De La Maison Palatine, Par Mr. l'AabbÈ Schannat, O˘ on a joint Une Dissertation PrÈliminaire Sur les Comtes Palatins Du Moyen Age.;1740;Francfort;Frankfurt am Main;4018118-2;Frankfurt am Main;tgn/7005293;Johann Friedrich;Schannat;Johann Friedrich Schannat;Q109219;male;117103950;M‰nnlich;;;;;;;;;Antoine;La Barre de Beaumarchais;100743714;Unbekannt;;;;;;;;;;;;;;
34;33;I;(e) 5. rang, in octav.;112-113;Allemagne;13;5;Le Droit public germanique, Amst. 1749. T. I. II.;;243261837;;2;243262833;M: Ro 383:1;M: Ro 383:1;Recht - Staats- und Verwaltungsrecht;Exemplar vorhanden;Provenienz Montbail: Supralibros Wappen Dumas, Signatur Praun'scher Katalog;;Provenienz: Dumas de Montbail <Familie>;Acu;fre;Le Droit Public Germanique;1749;Amsterdam;Amsterdam;4001783-7;Amsterdam;tgn/7006952;…lÈazar;Mauvillon;…lÈazar de Mauvillon;Q18115593;male;115627995;M‰nnlich;;;;;;;;;;;;;;;;;;;;;;;;;;
35;34;I;(e) 5. rang, in octav.;114;Allemagne;13;5;Dialogue entre Charles VI. Emp. et Frederic Guillaume Roi de Prusse, Col. 1742.;;138218145;;1;17259443X;M: Gm 3322;;Geschichte - Deutsche Geschichte: Territorien und St‰dte;Exemplar vorhanden;Exemplar ohne Provenienzen von Philippine Charlotte;;;Acu;fre;Dialogues entre Charles VI., seiziÈme empereur de la maison d'Autriche, et Frederic Guillaume, Roi de Prusse ...;1742;Cologne;Kˆln;4031483-2;Kˆln;tgn/1003171;;Gautier de Faget ;Gautier de Faget ;;unbekannt;101793553;Unbekannt;;;;;;;;;;;;;;;;;Karl;Heiliges Rˆmisches Reich, Kaiser;118560107;Friedrich Wilhelm I.;Preuﬂen, Kˆnig;118535978;;;;
36;35;I;(e) 5. rang, in octav.;115-116;Allemagne;13;5;Hist. de la derniere guerre de Boheme, Francf. 1745. T. I. II.;;155864823;;2;15586484X;M: Gl 3100:1 (2);M: Gl 3100:1 (1) + (2);Geschichte - Deutsche Geschichte: allgemein;Exemplar vorhanden;Provenienz Montbail: Supralibros Wappen Dumas, Signatur Praun'scher Katalog - nur 1. Bd. T. 3;;Provenienz: Dumas de Montbail <Familie>;Acu;fre;Histoire De La Derniere Guerre de BohËme, O˘ L'on Trouve 1. La Carte des Environs de Czaslau, avec le plan de la bataille qui y fut donnÈe entre les Autrichiens, et les Prussiens, 2. Le Plan de la Ville et du SiÈge de Prague, 3. Celui de la Ville d'Egra et de ses Environs, avec le plan du blocus formÈ par les troupes de la reine d'Hongrie, 4. La Plan de la Bateille de Dettingen, entre l'armÈe des FrancÃúois commandÈe par le MarÈchal de Noailles, et celle des AlliÈs commandÈe par le roi d'Angleterre;1745;Francfort;Frankfurt am Main;4018118-2;Frankfurt am Main;tgn/7005293;…lÈazar;Mauvillon;…lÈazar de Mauvillon;Q18115593;male;115627995;M‰nnlich;;;;;;;;;;;;;;;;;;;;;;;;;;
37;36;I;(e) 5. rang, in octav.;117-120;Allemagne;13;5;Hist. de Baviere, par le Sr Blanc, Par. 1680. T. I. II. III. IV.;;137706634;;4;172274362;A: 501.7 Hist., Xd 8∞ 1113:1;;;Exemplar vorhanden;Exemplar ohne Provenienzen von Philippine Charlotte;Wappenexlibris: Elisabetha Sophia Maria. Verwittwete Herzoginn Zu Br. U. Lun:;;Acr;fre;Histoire de BaviÈre;1680;Paris;Paris;4044660-8;Paris;tgn/7008038;Thomas;Blanc;Blanc, Thomas;;male;100044050;Unbekannt;;;;;;;;;;;;;;;;;;;;;;;;;;
38;37;I;(e) 5. rang, in octav.;121;Allemagne;13;5;Testament politique de Charles Duc de Lorraine, Leipz.;;535913710;;1;535913710;H: T 886.8∞Helmst., Xd 8∞ 1161;Xd 8∞ 1161;;Provenienzen bereits im OPAC nachgewiesen;;Provenienz: Dumas de Montbail <Familie> / Einband / Wappen;Provenienz: Dumas de Montbail <Familie> / Einband / Wappen;Aav;fre;Testament Politique De Charles Duc De Lorraine Et De Bar;1687;Lipsic;Leipzig;4035206-7;Leipzig;tgn/7012329;Theodor Heinrich;Strattmann;Theodor von Strattman;Q7781639;male;119316900;M‰nnlich;;;;;;;;;;;;;;;;;Karl V.;Lothringen, Herzog;118720902;;;;;;;
39;38;I;(e) 5. rang, in octav.;122;Allemagne;13;5;Vie de Charles Duc de Lorraine, Amst. 1691.;;14091787X;;1;14091787X;M: Gk 1015;;Geschichte - Frankreich;Exemplar vorhanden;Exemplar ohne Provenienzen von Philippine Charlotte;;;Aaus;fre;La Vie De Charles V Duc De Lorraine Et De Bar, GÈnÈralissime des Troupes ImpÈriales;1691;Amsterdam;Amsterdam;4001783-7;Amsterdam;tgn/7006952;Jean;Labrune;Jean de Labrune;Q59627226;male;129031097;Unbekannt;;;;;;;;;;;;;;;;;Karl;Lothringen, Herzog;118720902;;;;;;;
40;39;I;(e) 5. rang, in octav.;123;Allemagne;13;5;Recueil de la negociation de la paix traitÈe ‡ Cologne, anvers 1580.;;227915941;;1;227915941;M: Gp 308 (1);M: Gp 308 (1);Geschichte - Belgien, Holland;Provenienzen bereits im OPAC nachgewiesen;;Wappensupralibros: Dumas [de Montbail oder de Montmartin], Provenienz: Dumas de Montbail <Familie> / Einband / Wappen, Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> / Signatur, Dumas de Montbail <Familie>;Provenienz: Dumas de Montbail <Familie> / Einband / Wappen;Aar;fre;Recveil de la negotiation de la paix traictÈe ‡ Covlogne an la prÈsence des commissaires de la mate imperiale entre les ambassadeurs du ser. roy catholique, [et] de l'archiduc Matthias [et] les estatz du pai??s bas: fidelement descrit du protocole desdits estats;1580;Anvers;Antwerpen;4002364-3;Antwerpen;tgn/7003456;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;40;I;(e) 5. rang, in octav.;124;Allemagne;13;5;Hist. secrete de la Duchesse d'Hanovre Ep. de George I. Roi de la Gr. Bretagne, Londr. 1732.;;215996526;;1;215996526;M: Gn 9376;;Geschichte - Braunschweig-L¸neburg, Niedersachsen;Exemplar vorhanden;Exemplar ohne Provenienzen von Philippine Charlotte;;;Aaus;fre;Histoire Secrette De La Duchesse D'Hanover, Epouse De Georges Premier, Roi De La Grande Bretagne;1732;Londres;London;4074335-4;London;tgn/7011781;Karl Ludwig;Pˆllnitz;Karl Ludwig von Pˆllnitz;Q92292;male;119475979;M‰nnlich;;;;;;;;;;;;;;;;;Sophie Dorothea;Hannover, Kurprinzessin;118615661;Georg I.;Groﬂbritannien, Kˆnig;118538535;;;;
42;41;I;(e) 5. rang, in octav.;125;Allemagne;14;6;Etat present des affaire d'Allemagne, Lion 1675.;;153417641;;1;153417641;M: Gl 658;M: Gl 658;Geschichte - Deutsche Geschichte: allgemein;Provenienzen bereits im OPAC nachgewiesen;;Wappensupralibros: Dumas [de Montbail oder de Montmartin], Provenienz: Dumas de Montbail <Familie> / Einband / Wappen, Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> / Signatur, Dumas de Montbail <Familie>;Provenienz: Dumas de Montbail <Familie> / Einband / Wappen;Aar;fre;Estat present des affaires d'Allemagne, avec Les Interests & les Genealogies des Princes de l'Empire;1675;Lyon;Lyon;4036770-8;Lyon;tgn/8728756;Antoine;Bruneau;Antoine Bruneau;Q110975153;male;123879841;Unbekannt;;;;;;;;;;;;;;;;;;;;;;;;;;
43;42;I;(e) 5. rang, in octav.;126-127;Allemagne;14;6;Hist. de la decadence de l'Empire, par le P. L. Maimbourg. Par. 1679. T. I. II.;;219311617;;2;219311722;M: Gl 2974:1;M: Gl 2974:1;Geschichte - Deutsche Geschichte: allgemein;Provenienzen bereits im OPAC nachgewiesen;;Wappensupralibros: Dumas [de Montbail oder de Montmartin], Provenienz: Montbail, Marthe Du Mas ^de^ / Autogramm, Provenienz: Dumas de Montbail <Familie> / Einband / Wappen, Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> / Signatur;Provenienz: Dumas de Montbail <Familie> / Einband / Wappen;Acr;fre;Histoire De La Decadence De L'Empire, AprÈs Charlemagne, Et Des Differends Des Empereurs avec les Papes au sujet des Investitures, & de l'IndÈpendance;1679;Paris;Paris;4044660-8;Paris;tgn/7008038;Louis;Maimbourg;Louis Maimbourg;Q3262590;male;115541802;Unbekannt;;;;;;;;;;;;;;;;;;;;;;;;;;
44;43;I;(e) 5. rang, in octav.;128;Allemagne;14;6;Abrege de l'hist. des Electeurs de Brandenbourg, par A. Teissier. Berl. 1701.;voiezey devant n. 114. it. II.g.;23245700X;[gestr. VII f n.n. ];1;23245700X;M: Gm 1258;M: Gm 1258;Geschichte - Deutsche Geschichte: Territorien und St‰dte;Exemplar vorhanden;Provenienz Montbail: Supralibros Wappen Dumas, Autogramm Mas de Montbail, Signatur Praun'scher Katalog VII. f. 212;;Provenienz: Dumas de Montbail <Familie>;Aav;fre;Abrege De L'Histoire Des Electeurs De Brandebourg Par Demandes [et] Reponses;1705;Berlin;Berlin;4005728-8;Berlin;tgn/7003712;Antoine;Teissier;Antoine Teissier;Q57778991;male;129426024;Unbekannt;;;;;;;;;;;;;;;;;;;;;;;;;;
45;44;I;(e) 5. rang, in octav.;129;Allemagne;14;6;Vie et actions de Christoffe Bernh. de Galen Eveque de Munster, Col. 1679.;;136310931;;1;136310931;M: Db 1444;M: Db 1444;Biographien - Briefsammlungen, Gelegenheitsschriften;Provenienzen bereits im OPAC nachgewiesen;;Wappensupralibros: Dumas [de Montbail oder de Montmartin?], Provenienz: Dumas de Montbail <Familie> / Einband / Wappen, Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> / Signatur, Dumas de Montbail <Familie>;Provenienz: Dumas de Montbail <Familie> / Einband / Wappen;Aau;fre;La Vie Et Les Actions De Monseigneur Christophle Bernard de Gale, EvÈque de Munster Prince du St. Empire, Administrateura Corvay, Marquis de Strombergh, &c.;1679;Cologne;Kˆln;4031483-2;Kˆln;tgn/1003171;Simon;Vries;Simon de Vries;Q107999611;male;119208873;M‰nnlich;;;;;;;;;;;;;;;;;Christoph Bernhard;M¸nster, Bischof;118520709;;;;;;;
46;45;I;(e) 5. rang, in octav.;130;Allemagne;14;6;Hist. du Wiclesiansme, Lion 1682.;;151141878;Druckort Lion erg.;1;240790162;M: Tq 1288;M: Tq 1288;Staatswissenschaften - Orden, christliche Gruppen;Exemplar vorhanden;Provenienz Montbail: Supralibros Wappen Dumas, Autogramm Montbail, Signatur Praun'scher Katalog;;Provenienz: Dumas de Montbail <Familie>;Acu;fre;Histoire Du Wiclefianisme. Ou de la Doctrine de Wiclef, Jean Hus, Et Jerome de Prague;1682;[S.l.];ohne Ort;;;;Antoine;Varillas;Antoine Varillas;Q1100290;male;100047548;Unbekannt;;;;;;;;;;;;;;;;;Johannes;Wyclif;118632299;Hieronymus Pragensis;;118822659;Jan;Hus;;118554948
47;46;I;(e) 5. rang, in octav.;131;Allemagne;14;6;Hist. de Empire d'Allemagne, par le Sr L. B. de Rocoles. Haie 1681.;;230062857;;1;230062857;M: Gl 4050;;Geschichte - Deutsche Geschichte: allgemein;Exemplar vorhanden;Exemplar ohne Provenienzen von Philippine Charlotte;;;Aau;fre;Histoire De l'Empire d'Allemagne, Son Origine, ses revolutions;1681;La Haye;Den Haag;4011446-6;'s-Gravenhage;tgn/7006810;Jean-Baptiste;Rocoles;Jean Baptiste de Rocoles;Q1282586;male;100253016;Unbekannt;;;;;;;;;;;;;;;;;;;;;;;;;;
48;47;I;(e) 5. rang, in octav.;132;Suisse;14;6;Voiage de Suisse, d'Italie et de quelques endroits d'Allemagne et de France, par Mr Burnet 1685. Roterd. 1688.;;147553806;;1;147553806;M: Cc 138;M: Cc 138;Geographie - Reisebeschreibungen;Provenienzen bereits im OPAC nachgewiesen;;Wappensupralibros: Dumas [de Montbail oder de Montmartin?], Provenienz: Montbail, Marthe Du Mas ^de^ / Autogramm, Provenienz: Dumas de Montbail <Familie> / Einband / Wappen, Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> / Signatur;Provenienz: Dumas de Montbail <Familie> / Einband / Wappen;Aau;fre;Voyage De Suisse, D'Italie, Et De Quelques Endroits d'Allemagne & de France, fait Ès annÈes 1685, & 1686;1688;Rotterdam;Rotterdam;4050739-7;Rotterdam Zuid;tgn/7268776;Gilbert;Burnet;Gilbert Burnet;Q2250014;male;118674978;M‰nnlich;;;;;;;;;;;;;;;;;;;;;;;;;;
49;48;I;(e) 5. rang, in octav.;133;Suisse;14;6;Memoires pour servir ‡ l'hist. des troubles arrivÈs Suisse ‡ l'occasion du Consensus, Amst. 1726.;;150008546;;1;150008546;M: Gq 10;M: Gq 10;Geschichte - Schweiz;Provenienzen bereits im OPAC nachgewiesen;;Wappensupralibros: Dumas [de Montbail oder de Montmartin], Provenienz: Dumas de Montbail <Familie> / Einband / Wappen, Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> / Signatur, Dumas de Montbail <Familie>;Provenienz: Dumas de Montbail <Familie> / Einband / Wappen;Aaus;fre;Memoires Pour servir ‡ l'Histoire Des Troubles ArrivÈs En Suisse, ¿ L'Occasion Du Consensus;1726;Amsterdam;Amsterdam;4001783-7;Amsterdam;tgn/7006952;BarthÈlemy;Barnaud;BarthÈlemy Barnaud;Q55681058;male;1036275779;M‰nnlich;;;;;;;;;;;;;;;;;;;;;;;;;;
50;49;I;(e) 5. rang, in octav.;134;Suisse;14;6;La Republique des Suisses, trad. du latin de J. Simler, Gen. 1639.;;233603964;;1;233603964;M: Gq 154;M: Gq 154;Geschichte - Schweiz;Provenienzen bereits im OPAC nachgewiesen;;Provenienz: Dumas de Montbail <Familie> / Einband / Wappen;Provenienz: Dumas de Montbail <Familie> / Einband / Wappen;Aaus;fre;La Repvbliqve Des Svisses;1639;Geneve;Genf;4020137-5;GenËve;tgn/7003746;Josias;Simmler;Josias Simmler;Q116008;male;11879728X;Unbekannt;;;;;;;;;;;;;;;;;;;;;;;;;;
51;50;I;(e) 5. rang, in octav.;135-138;Danemarc et Suede;15;7;"Hist. militaire de Charles XII. Roi de Suede, 1700-1709. par G. Adlerfeld; Amst. 1740. T. I. II. III. IV.";;151676771;;4;252060911;M: Gs 442, H: T 946a.8∞ Helmst.;;Geschichte - Skandinavien;Exemplar vorhanden;Exemplar ohne Provenienzen von Philippine Charlotte;Mehrfache Signaturengebung der Bibliothek des Gebhard Werner von der Schulenburg (?) - Stempel: Ex Bibliotheca Academiae Ivliae Carolinae Helmstadii, Provenienz: Schulenburg, Gebhard Werner ^von der^ [?] / Signatur, Provenienz: Universit‰tsbibliothek <Helmstedt> / Stempel, Provenienz: Universit‰tsbibliothek <Helmstedt> / Signatur;;Acus;fre;Histoire Militaire De Charles XII. Roi De Suede, Depuis l'an 1700, jusqu'‡ la Bataille de Pultowa en 1709, Ècrite par ordre exprÈs de Sa MajestÈ;1740;Amsterdam;Amsterdam;4001783-7;Amsterdam;tgn/7006952;Gustaf;Adlerfeld;Gustaf Adlerfelt;Q2617775;male;172601568;M‰nnlich;;;;;;;;;Carl Maximilian;Adlerfeld;1053414250;Unbekannt;;;;;Karl;Schweden, Kˆnig;118560123;;;;;;;
52;51;I;(e) 5. rang, in octav.;139;Danemarc et Suede;15;7;Memoires pour servir ‡ l'hist. de Charles XII. pendant son sejour dans l'Empire Ottoman, par W. Theyls. Leide 1722.;;151802319;;1;151802319;M: Gs 436;;Geschichte - Skandinavien;Exemplar vorhanden;Exemplar ohne Provenienzen von Philippine Charlotte;;;Aau;fre;MÈmoires pour servir ‡ l'histoire de Charles XII., roi de SuÈde;1722;Leyde;Leiden;4074118-7;Leiden;tgn/7006809;Willem;Theyls;Theyls, Willem;;male;1055516549;Unbekannt;;;;;;;;;;;;;;;;;;;;;;;;;;
53;52;I;(e) 5. rang, in octav.;140;Danemarc et Suede;15;7;Hist. des revolutions de la Suede, Amst. 1722.;;151189250;;1;151189269;M: Gs 371, Schulenb. Gp 6;;Geschichte - Skandinavien;Exemplar vorhanden;Exemplar ohne Provenienzen von Philippine Charlotte;;;Acr;fre;Histoire Des RÈvolutions De SuÈde, Ou l'on voit les changemens qui sont arrivez dans ce Royaume au sujet de la Religion & du Gouvernement;1722;Amsterdam;Amsterdam;4001783-7;Amsterdam;tgn/7006952;RenÈ Aubert;Vertot;RenÈ-Aubert Vertot;Q1529470;male;100278736;M‰nnlich;;;;;;;;;;;;;;;;;;;;;;;;;;
54;53;I;(e) 5. rang, in octav.;141;Danemarc et Suede;15;7;Anecdotes de Suede, ou Hist. secrete des changemens arrivÈs dans la Suede sous le regne de Charles XI. Haie 1716.;;151702837;;1;151702837;M: Gs 426;;Geschichte - Skandinavien;Exemplar vorhanden;Exemplar ohne Provenienzen von Philippine Charlotte;;;Aau;fre;Les Anecdotes de SuÈde ou l'histoire secrÈte des changements arrivez dans la SuÈde sous le regne de Charles XI.;1716;La Haye;Den Haag;4011446-6;'s-Gravenhage;tgn/7006810;;;;;;;;;;;;;;;;Johan Paulin;Olivekrans;104354615;Unbekannt;Esaias;Pufendorf;Unbekannt;104156457;Karl;Schweden, Kˆnig;119160978;;;;;;;
55;54;I;(e) 5. rang, in octav.;142;Danemarc et Suede;15;7;Hist de Gustave Adolf et de Charles Gustave R. de Suede. Par. 1694.;;151461465;;1;151461465;M: Gs 395;M: Gs 395;Geschichte - Skandinavien;Provenienzen bereits im OPAC nachgewiesen;;Wappensupralibros: Dumas [de Montbail oder de Montmartin], Provenienz: Dumas de Montbail <Familie> / Einband / Wappen, Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> / Signatur, Dumas de Montbail <Familie>;Provenienz: Dumas de Montbail <Familie> / Einband / Wappen;Aar;fre;L'Histoire de Gustave Adolphe dit le Grand, et de Charles-Gustave Comte Palatin, Roys de SuÈde, et de tout ce qui s'est passÈ en Allemagne pendant leur vie;1694;Paris;Paris;4044660-8;Paris;tgn/7008038;Jean le Royer;Prade;Jean Le Royer de Prade;Q3173110;male;124781381;Unbekannt;;;;;;;;;;;;;;;;;Gustav Adolf;Schweden, Kˆnig;118543733;;;;;;;
56;55;I;(e) 5. rang, in octav.;143;Danemarc et Suede;15;7;Memoires de Danemarc, contenant la vie et le regne de Christierne V. trad. de l'anglois, Utr. 1701.;;151875235;;1;151875235;M: Gs 225;M: Gs 225;Geschichte - Skandinavien;Exemplar vorhanden;Provenienz Montbail: Supralibros Wappen Dumas, Autogramm Montbail, Signatur Praun'scher Katalog;;Provenienz: Dumas de Montbail <Familie>;Aaus;fre;Memoires De Dannemark;1701;Utrecht;Utrecht;4062222-8;Utrecht;tgn/7003627;Jodocus;Crull;Jodocus Crull;Q6208011;male;129373567;Unbekannt;;;;;;;;;;;;;;;;;Christian;D‰nemark, Kˆnig;119175800;;;;;;;
57;56;I;(e) 5. rang, in octav.;144;Danemarc et Suede;15;7;Etat present de roiaume de Danemarc, Par. 1715.;;150921411;;1;150921411;M: Gs 233;;Geschichte - Skandinavien;Exemplar vorhanden;Exemplar ohne Provenienzen von Philippine Charlotte;;;Aaus;fre;"Etat Present Du Royaume De Danemarc, Par lequel on voit le fort, & le foible de cette Couronne; Avec Des Remarques TrÈs-utiles, sur son Gouvernement despotique, & la conduite qu'elle tient aujourd'hui";1715;Paris;Paris;4044660-8;Paris;tgn/7008038;Robert;Molesworth;Robert Molesworth, 1st Viscount Molesworth;Q7347739;male;128641789;M‰nnlich;;;;;;;;;;;;;;;;;;;;;;;;;;
58;57;I;(e) 5. rang, in octav.;145;Danemarc et Suede;15;7;Etat present de la Suede trad. de l'Anglois de Mr Robinson, Amst. 1720.;Voiez. II. n. 151. [etc];150772289;;1;150772289;M: Gs 448;;Geschichte - Skandinavien;Exemplar vorhanden;Exemplar ohne Provenienzen von Philippine Charlotte;;;Aaus;fre;L'…tat PrÈsent De La SuÈde, Avec Un AbrÈgÈ De l'Histoire de ce Royaume;1720;Amsterdam;Amsterdam;4001783-7;Amsterdam;tgn/7006952;John;Robinson;Robinson, John;;male;1019762365;M‰nnlich;;;;;;;;;;;;;;;;;Karl;Schweden, Kˆnig;118560123;;;;;;;
59;58;I;(e) 5. rang, in octav.;146;Danemarc et Suede;15;7;Etat du roiaume de Danemarc, en 1692. Amst. 1695.;;15092139X;;1;15092139X;M: Gs 232, H: T 958c.8∞ Helmst.;;Geschichte - Skandinavien;Exemplar vorhanden;Exemplar ohne Provenienzen von Philippine Charlotte;;;Aaus;fre;Etat Du Royaume De Danemark, Tel Qu'il Etoit En 1692;1695;Amsterdam;Amsterdam;4001783-7;Amsterdam;tgn/7006952;Robert;Molesworth;Robert Molesworth, 1st Viscount Molesworth;Q7347739;male;128641789;M‰nnlich;;;;;;;;;;;;;;;;;;;;;;;;;;
60;59;I;(e) 5. rang, in octav.;147;Danemarc et Suede;16;8;Etat present des differend. nouveaux Survenus entre le Roi de Danemanc et le Duc de Holstein Gottorp.;;150249314;;1;150249314;M: Gs 227 (1), M: Gs 228 (2);M: Gs 227;Geschichte - Skandinavien;Exemplar vorhanden;Provenienz Montbail: Supralibros Wappen Dumas, Signatur Praun'scher Katalog;;Provenienz: Dumas de Montbail <Familie>;Aar;fre;L'…tat prÈsent des differens nouvellement survenus entre le Roi de Danemark et le Duc de Holstein-Gotorf;1697;Amsterdam;Amsterdam;4001783-7;Amsterdam;tgn/7006952;Jean Payen;La Fouleresse;Jean Payen de La Fouleresse;Q104398435;male;128643358;Unbekannt;;;;;;;;;;;;;;;;;;;;;;;;;;
61;60;I;(f) 6. rang, in octavo;148-150;Danemarc et Suede;16;8;Mem. de ce qui s'est passÈ en Suede et aux provinces voisines 1645-55. TirÈs des depeches de Mr Chanut Ambassadeur du Roi en Suede, par P. Linage de Vaucien?es, Col. 1677. T. I. II. III.;;140460691;;3;185061389;M: Gs 417:1, Schulenb. B 84:1;;Geschichte - Skandinavien;Exemplar vorhanden;Exemplar ohne Provenienzen von Philippine Charlotte;;;Acr;fre;"Memoires de ce qui s'est passÈ en Suede et aux Provinces voisines, depuis l'annÈe 1645 jusques en l'annÈe 1655; ensemble le demËlÈ de la SuÈde avec la Pologne";1677;Cologne;Kˆln;4031483-2;Kˆln;tgn/1003171;Pierre Hector;Chanut;Pierre Chanut;Q1759285;male;116488182;M‰nnlich;;;;;;;;;Pierre;Linage de Vauciennes;12903164X;Unbekannt;;;;;;;;;;;;;;
